Words,Word Frequency,Part of Speech
state,1,NN
circuitry,6,NN
low,1,JJ
300,1,CD
ohms,1,NN
causes,3,NNS
flow,1,VBP
direct,6,JJ
current,21,JJ
dc,7,NN
exchange,24,NN
detects,2,VBZ
attaches,1,NNS
digit,3,JJ
circuit,6,NN
sends,4,VBZ
indicate,3,VBP
its,7,PRP$
readiness,1,NN
push,3,NN
button,3,NN
caller,1,NN
then,3,RB
presses,1,VBZ
keys,2,NNS
send,3,VBP
destination,1,NN
called,16,VBN
generator,2,NN
shown,2,VBN
tones,1,NNS
uses,2,NNS
pulse,2,RB
sending,1,VBG
pulses,2,NNS
counts,1,NNS
decode,1,VBP
available,1,JJ
terminating,1,VBG
applies,1,NNS
intermittent,3,JJ
alternating,4,VBG
ac,5,NN
ringing,4,VBG
40,1,CD
90,1,CD
volts,1,NNS
alert,2,JJ
however,2,RB
returns,1,VBZ
busy,1,JJ
but,10,CC
subscribes,1,JJ
waiting,1,VBG
electromechanical,1,JJ
capacitor,2,NN
a6,1,NN
blocks,1,NNS
passes,6,VBZ
draws,2,VBZ
no,2,DT
it,12,PRP
while,7,IN
continually,1,RB
applied,2,VBN
d2,1,NN
can,1,MD
down,1,VB
activate,1,RB
manual,1,JJ
areas,2,NNS
before,3,IN
installed,2,JJ
had,9,VBD
cranked,2,VBN
magneto,7,JJ
generators,1,NNS
generate,1,VBP
back,3,RB
any,2,DT
inactive,1,NN
at,9,IN
absence,1,NN
2,2,CD
initiates,1,NNS
actuate,1,VBP
double,1,JJ
disconnects,1,NNS
connects,1,VBZ
turn,1,VBP
confirming,1,VBG
now,5,RB
active,2,JJ
turns,2,NNS
ring,2,VBG
parties,2,NNS
converse,1,VBP
long,7,RB
remain,1,VBP
hangs,1,NNS
placing,1,VBG
cradle,5,JJ
ceases,1,NNS
disconnect,1,VBP
local,11,JJ
carried,2,VBD
over,10,IN
trunk,1,NN
lines,3,NNS
establish,1,VB
connections,3,NNS
fiber,1,VB
optic,1,JJ
cable,1,NN
often,1,RB
employed,1,VBD
such,5,JJ
satellite,1,JJ
very,2,RB
distances,1,VBZ
although,1,IN
speakerphone,1,NN
separate,7,JJ
enclosure,2,NN
powered,7,VBN
produces,2,NNS
modulated,1,VBD
electric,5,JJ
varies,1,NNS
amplitude,1,VBP
response,2,NN
arriving,1,VBG
diaphragm,5,JJ
resulting,1,VBG
along,3,RB
larger,3,JJR
where,2,WRB
varying,1,VBG
corresponding,1,VBG
movement,1,NN
reproducing,1,VBG
original,1,JJ
additional,1,JJ
incorporated,2,VBN
prevent,1,NN
interfering,1,VBG
accomplished,1,JJ
resistor,3,NN
primary,3,JJ
winding,3,VBG
path,1,NN
impedance,3,NN
virtually,1,RB
bypasses,1,VBZ
time,6,NN
across,2,IN
split,1,NN
branch,4,NN
effect,1,NN
passing,1,NN
turned,2,VBD
sounds,2,VBZ
only,3,RB
upper,1,JJ
fewer,1,JJR
small,2,JJ
portion,1,NN
output,1,NN
fed,1,VBD
rest,1,NN
goes,1,VBZ
out,3,RP
lineman,1,JJ
designed,1,VBN
testing,1,VBG
attached,2,VBN
aerial,1,JJ
infrastructure,2,NN
history,1,NN
development,4,NN
inventions,2,NNS
researchers,1,NNS
perhaps,1,RB
earliest,3,JJS
word,1,NN
communications,2,NNS
telephon,1,VBP
created,1,VBN
gottfried,1,VBD
huth,2,JJ
1796,1,CD
proposed,2,VBD
alternative,1,JJ
optical,1,JJ
telegraph,6,NN
claude,1,NN
chappe,1,NN
operators,1,NNS
signalling,2,VBG
towers,1,NNS
would,3,MD
shout,1,VB
means,1,NNS
what,2,WP
he,1,PRP
speaking,4,VBG
tubes,1,JJ
giant,1,JJ
megaphones,1,NNS
4,2,CD
sailing,1,NN
vessels,2,NNS
invented,1,VBN
captain,1,VBP
john,1,NN
taylor,1,NN
1844,1,CD
four,3,CD
air,1,NN
horns,1,NNS
communicate,1,VBP
foggy,1,JJ
weather,1,NN
5,1,CD
6,3,CD
johann,2,NN
philipp,2,NN
reis,3,NN
reference,1,NN
his,2,PRP$
invention,4,NN
1860,1,CD
appears,1,VBZ
based,2,VBN
conversion,1,NN
impulses,1,NNS
adopted,1,VBD
vocabulary,1,JJ
languages,1,NNS
credit,1,NN
frequently,1,RB
disputed,1,VBN
influential,1,JJ
television,1,NN
bulb,1,NN
computer,4,NN
several,3,JJ
inventors,1,NNS
pioneered,1,VBD
experimental,1,JJ
work,2,NN
improved,2,VBD
ideas,1,NNS
new,7,JJ
controversies,1,NNS
issue,1,NN
still,2,RB
arise,1,VB
charles,1,NNS
bourseul,1,VB
antonio,1,RB
meucci,1,JJ
elisha,1,NN
gray,1,JJ
amongst,1,NN
credited,1,VBD
7,1,CD
awarded,1,VBD
trademark,1,NN
uspto,1,JJ
march,1,NN
8,1,CD
way,2,NN
method,2,NN
vibrations,1,NNS
missing,1,VBG
key,2,NN
features,2,NNS
found,1,VBD
currents,2,NNS
order,1,NN
fluctuating,2,VBG
reproduced,1,VBD
best,1,JJS
basis,1,NN
working,1,VBG
creating,1,VBG
9,1,CD
master,1,NN
patents,3,NNS
flowed,1,VBD
10,4,CD
forensically,1,RB
victorious,1,JJ
commercially,1,RB
decisive,1,JJ
shortly,1,RB
after,2,IN
application,1,NN
hungarian,1,JJ
engineer,1,NN
tivadar,1,NN
pusk,1,NN
allowed,1,VBD
formation,1,NN
11,1,CD
kingdom,1,NN
blower,1,NN
slang,2,NN
came,1,VBD
navy,1,JJ
tube,1,NN
12,1,CD
timeline,1,JJ
commercial,1,JJ
instruments,2,NNS
technically,1,RB
diverse,1,VB
some,5,DT
water,1,NN
induced,1,VBD
electromagnet,1,NN
wound,1,NN
around,2,IN
permanent,2,JJ
magnet,2,NN
dynamic,4,JJ
vibrated,2,JJ
field,3,NN
variants,1,NNS
survived,1,VBD
numbers,1,NNS
military,1,JJ
maritime,1,NN
applications,2,NNS
ability,2,NN
create,1,VBP
own,2,JJ
crucial,1,JJ
edison,2,NN
berliner,1,NN
carbon,2,NN
much,1,JJ
louder,1,JJR
kinds,1,NNS
even,2,RB
though,1,IN
required,2,VBN
induction,4,NN
matching,1,VBG
make,1,VBP
compatible,1,JJ
kept,1,NN
monopoly,1,NN
viable,1,JJ
important,1,JJ
locally,1,RB
using,3,VBG
powering,1,VBG
battery,9,NN
jobs,1,NNS
personnel,1,NNS
visit,1,VBP
periodically,1,RB
inspect,1,JJ
ground,1,NN
return,1,VB
complete,1,JJ
telegraphs,1,NNS
port,1,VBP
opening,1,VBG
alternately,1,RB
listening,1,VBG
rather,1,RB
shouting,1,VBG
hole,1,NN
pairs,4,NNS
end,3,VBP
making,1,VBG
convenient,1,NN
expensive,1,JJ
benefits,1,NNS
exploited,2,VBN
instead,1,RB
leased,1,VBN
who,2,WP
arrange,1,VBP
contractor,1,NN
construct,1,NN
them,1,PRP
example,1,NN
home,1,NN
shop,1,NN
wanted,1,VBD
different,1,JJ
locations,1,NNS
need,2,VBP
obtain,1,VB
set,5,JJ
western,1,JJ
union,1,NN
already,2,RB
extended,1,JJ
principle,1,NN
york,1,NN
city,1,NN
san,1,JJ
francisco,1,JJ
slow,1,JJ
appreciating,1,VBG
potential,1,JJ
began,1,VBD
appropriately,1,RB
primitive,1,JJ
manner,1,NN
alerted,1,VBD
operator,2,NN
whistling,1,NN
resulted,1,VBD
equipped,1,JJ
second,1,JJ
condenser,1,NN
series,1,NN
allow,1,IN
blocking,1,VBG
keeping,1,VBG
strowger,1,JJ
automatic,1,JJ
seven,1,CD
knife,1,NNS
large,1,JJ
wall,1,JJ
boxes,1,NNS
desk,4,NN
dwindled,1,VBD
away,1,RB
middle,1,JJ
rural,1,JJ
produce,1,NN
high,2,JJ
bells,1,NNS
farming,1,VBG
communities,1,NNS
main,1,JJ
barbed,1,VBD
existing,1,VBG
fences,1,NNS
1890s,1,CD
smaller,1,JJR
style,2,NN
packaged,1,VBD
parts,2,NNS
stood,1,VBD
stand,1,VB
candlestick,2,JJ
shape,1,NN
hung,1,NN
previous,1,JJ
operate,1,NN
connect,1,NN
kind,1,NN
less,1,RBR
likely,1,JJ
leave,1,VBP
13,1,CD
under,1,IN
did,2,VBD
designs,1,VB
having,1,VBG
handle,2,NNS
housed,1,VBD
crank,1,NN
popular,2,JJ
disadvantages,1,NNS
hum,1,VBP
nearby,1,RB
led,1,VBN
distance,4,NN
beginning,1,VBG
made,3,VBN
appointment,1,JJ
special,2,JJ
soundproofed,1,NN
booth,1,DT
furnished,1,VBN
latest,1,JJS
longest,1,JJS
lasting,1,VBG
physical,1,JJ
including,1,VBG
202,2,CD
type,2,JJ
granule,1,NN
molded,1,VBD
plastic,1,JJ
sat,1,NN
model,2,NN
shows,2,VBZ
connection,1,NN
coupled,2,VBD
configurations,1,NNS
loop,2,JJ
provide,2,VBP
sufficient,1,JJ
inductively,1,RB
included,2,VBD
14,1,CD
coupling,1,NN
mounted,1,VBD
interrupted,1,VBN
repeatedly,1,RB
briefly,1,NN
disconnecting,1,VBG
times,1,NNS
center,1,RB
disconnected,1,VBD
1930s,2,CD
sets,2,NNS
combined,3,VBN
obviating,1,VBG
becoming,1,VBG
commonplace,1,NN
enabled,1,VBD
dialed,1,VBN
remained,1,JJ
world,2,NN
war,1,NN
ii,1,NN
saw,1,VBD
rapid,1,JJ
expansion,1,NN
efficient,1,VBD
500,1,CD
permitted,1,VBN
centered,1,JJ
offices,1,NNS
breakthrough,1,IN
introduction,1,NN
touch,1,JJ
american,2,JJ
company,1,NN
1963,1,CD
ericsson,1,NN
dbh,1,NN
1001,1,CD
ca,1,MD
1931,1,CD
bakelite,1,VB
housing,1,NN
soldiers,1,NNS
wwii,1,VBP
minalin,1,JJ
pampanga,1,NN
philippines,1,NNS
video,1,VBP
ericofon,1,JJ
emergency,3,NN
ip,5,NN
transistor,1,NN
1947,1,CD
dramatically,1,RB
changed,1,VBN
next,2,JJ
stored,1,JJ
program,1,NN
switching,1,NN
technologies,1,NNS
code,2,VBP
modulation,1,NN
pcm,1,NN
telephony,6,NN
gradually,1,RB
towards,1,VBZ
capacity,1,NN
quality,1,NN
15,1,CD
data,3,NNS
methods,1,NNS
possible,1,JJ
digitize,1,JJ
real,1,JJ
internet,7,NN
giving,1,VBG
rise,1,NN
protocol,2,NN
voip,3,NN
reflects,1,VBZ
methodology,1,NN
memorably,1,RB
proven,1,RB
disruptive,1,JJ
replacing,1,VBG
january,2,JJ
2005,3,CD
subscribers,4,NNS
japan,1,VBP
south,1,JJ
korea,1,JJ
newsweek,1,JJ
article,1,NN
suggested,1,VBD
big,1,JJ
thing,1,NN
16,1,CD
spawned,1,VBD
industry,1,NN
comprising,1,VBG
companies,1,NNS
offer,1,VBP
services,3,NNS
consumers,1,NNS
businesses,1,NNS
bandwidth,1,VBP
specialized,1,JJ
premises,1,NNS
private,1,JJ
adapter,1,NN
ata,1,NN
translates,1,VBZ
conventional,1,JJ
packet,1,NN
messages,1,NNS
function,1,VBP
standalone,1,NN
softphone,1,NN
headset,1,NN
require,1,VBP
supply,1,NN
requires,1,VBZ
provisions,1,NNS
2002,1,CD
population,1,NN
percentage,1,NN
risen,1,VBD
46,1,CD
17,1,CD
2009,1,CD
there,1,EX
total,1,JJ
nearly,1,RB
billion,3,CD
fixed,2,VBD
26,1,CD
18,1,CD
characteristic,1,JJ
icons,1,NNS
symbols,2,VBP
unicode,1,JJ
provides,1,VBZ
points,1,NNS
graphic,1,JJ
designating,1,VBG
information,1,NN
print,1,NN
signage,1,NN
media,1,NNS
see,1,VBP
references,1,NNS
reading,1,VBG
external,1,JJ
